"","SPECIES","YEAR","REGION","DISTRICT","TOTAL_AREA","SEX_TEXT","ABUNDANCE","ABUNDANCE_CV","ABUNDANCE_CI","BIOMASS_MT","BIOMASS_MT_CV","BIOMASS_MT_CI","BIOMASS_LBS","BIOMASS_LBS_CV","BIOMASS_LBS_CI"
"1","SNOW",1980,"EBS","ALL",128721,"male",2761854297.7802,0.146820092099616,794771576.636986,336054.117822295,0.130897846352624,86217.9701505041,740872510.316474,0.130897846352624,190078087.403686
"2","SNOW",1981,"EBS","ALL",119097,"male",1655197503.81901,0.162588946021871,527468962.503769,204582.322410099,0.114966118416923,46099.2695882488,451026816.01567,0.114966118416923,101631492.58496
"3","SNOW",1982,"EBS","ALL",132330,"male",1924253771.8339,0.125355931381917,472784582.615475,316338.115375511,0.120668521830232,74817.2234506114,697406165.309867,0.120668521830232,164943743.323134
"4","SNOW",1983,"EBS","ALL",131528,"male",1636300111.99958,0.16882009096583,541431054.160129,252884.390940007,0.109453622966484,54251.0610489108,557514648.978795,0.109453622966484,119603116.447729
"5","SNOW",1984,"EBS","ALL",132330,"male",1461271834.51822,0.19098996930699,547012995.134655,239409.299133995,0.10430513222559,48944.3724603259,527807156.751771,0.10430513222559,107903870.738228
"6","SNOW",1985,"EBS","ALL",131528,"male",550486786.392481,0.129773791182212,140019964.241096,99905.2143483991,0.0958239201215452,18763.6861877158,220253295.593134,0.0958239201215452,41366847.0387102
"7","SNOW",1986,"EBS","ALL",131528,"male",1253640421.23052,0.203839234964013,500860564.591843,142132.661374772,0.105372172144341,29354.5814329629,313348880.570396,0.105372172144341,64715774.2820127
"8","SNOW",1987,"EBS","ALL",135137,"male",3974302815.78437,0.180582147063042,1406668745.68395,373877.51905018,0.0983452206490809,72067.3715291729,824258836.298732,0.0983452206490809,158881357.570397
"9","SNOW",1988,"EBS","ALL",140350,"male",3954777180.5535,0.129265894169691,1001986904.63283,475467.543013852,0.111298715889938,103721.096890179,1048226501.28321,0.111298715889938,228665876.567061
"10","SNOW",1989,"EBS","ALL",140350,"male",3403313818.16852,0.105795984733697,705711596.031839,516004.356700006,0.0942431708341706,95314.5780097238,1137594877.75337,0.0942431708341706,210132674.872209
"11","SNOW",1990,"EBS","ALL",140350,"male",2974326041.67303,0.115637342232539,674128590.448513,654482.267192134,0.119114907677761,152798.845873313,1442886411.85067,0.119114907677761,336863792.204694
"12","SNOW",1991,"EBS","ALL",140350,"male",3950148871.07232,0.159530873793982,1235134573.99622,641231.752301204,0.12892370577818,162033.148587842,1413674026.97098,0.12892370577818,357221944.866145
"13","SNOW",1992,"EBS","ALL",133132,"male",3069393851.66281,0.208134671897102,1252140673.18809,346103.719933178,0.0941086654988171,63839.8640458919,763028090.470705,0.0941086654988171,140742808.451325
"14","SNOW",1993,"EBS","ALL",140350,"male",4988361412.72627,0.175440048091396,1715310397.64608,372427.524228217,0.13056837766957,95309.4249704267,821062144.912668,0.13056837766957,210121314.365204
"15","SNOW",1994,"EBS","ALL",140350,"male",4223270310.98866,0.149858624093854,1240471216.84312,347018.777529976,0.0962927714641843,65494.1836834102,765045447.148901,0.0962927714641843,144389958.947967
"16","SNOW",1995,"EBS","ALL",140350,"male",3763224650.43055,0.104019387838122,767238715.892827,429784.306588826,0.0899654040155764,75784.8088123633,947512204.821325,0.0899654040155764,167076903.900223
"17","SNOW",1996,"EBS","ALL",140350,"male",2612220276.48577,0.0890999047675234,456187212.618684,484898.769869224,0.093711994608782,89064.0285792679,1069018797.36035,0.093711994608782,196352572.198842
"18","SNOW",1997,"EBS","ALL",140350,"male",1651562574.29043,0.0879969534217662,284851650.849016,441519.318125914,0.0833387626879525,72119.5204038666,973383476.723647,0.0833387626879525,158996326.15925
"19","SNOW",1998,"EBS","ALL",140350,"male",1086566580.17709,0.122008923608043,259838804.996724,264655.731051003,0.0815974860871679,42326.674971354,583466011.676973,0.0815974860871679,93314345.1494885
"20","SNOW",1999,"EBS","ALL",140350,"male",547328007.346329,0.0986136210464226,105789033.540907,111479.706877469,0.0754177178160995,16478.7883479927,245770683.659142,0.0754177178160995,36329509.5726431
"21","SNOW",2000,"EBS","ALL",140350,"male",1073530671.1348,0.149033774539837,313584962.886867,131724.328106973,0.111399417096246,28761.0662022826,290402433.592467,0.111399417096246,63407297.1780432
"22","SNOW",2001,"EBS","ALL",140350,"male",1640691826.55928,0.185024482342447,594993585.549524,224119.171023653,0.144811259041954,63611.7594894932,494098194.428745,0.144811259041954,140239923.986142
"23","SNOW",2002,"EBS","ALL",140350,"male",711047322.59612,0.197315948969765,274989915.35211,138908.71187063,0.192927169042468,52526.5584916118,306241288.561869,0.192927169042468,115801239.098471
"24","SNOW",2003,"EBS","ALL",140350,"male",1161791259.29491,0.202700824260652,461572249.920683,126029.498791231,0.124367778972335,30721.0573453375,277847484.055414,0.124367778972335,67728337.9906453
"25","SNOW",2004,"EBS","ALL",140350,"male",1571141956.22502,0.164966958392986,508005559.055213,133491.260451209,0.119455982859513,31254.8062518946,294297852.609844,0.119455982859513,68905052.9044281
"26","SNOW",2005,"EBS","ALL",140350,"male",1979473181.4906,0.158615972983427,615393086.766395,234096.604758058,0.13062190743948,59933.164275663,516094670.547613,0.13062190743948,132130009.761107
"27","SNOW",2006,"EBS","ALL",140350,"male",1350318280.05532,0.169061292723342,447441645.867662,214731.359402982,0.214173171732841,90139.8047751288,473401612.560159,0.214173171732841,198724252.736283
"28","SNOW",2007,"EBS","ALL",140350,"male",1457527151.28533,0.148969381005574,425568758.350554,239878.432476184,0.122689422754843,57683.8709672057,528841418.730625,0.122689422754843,127171166.850109
"29","SNOW",2008,"EBS","ALL",140350,"male",1163160513.95464,0.145941682314391,332717060.328096,193897.04514993,0.108466557512238,41221.4361984473,427469812.047174,0.108466557512238,90877710.7481939
"30","SNOW",2009,"EBS","ALL",140350,"male",1251062444.22881,0.130997817866508,321217442.409078,201656.158386692,0.107254084371693,42391.7553863284,444575728.614427,0.107254084371693,93457822.9045804
"31","SNOW",2010,"EBS","ALL",140350,"male",2644994715.13277,0.156127596734747,809395069.769582,251302.986955808,0.104504538740158,51474.1133622477,554028249.980949,0.104504538740158,113480994.758021
"32","SNOW",2011,"EBS","ALL",140350,"male",2023870296.80214,0.136124184840307,539975480.974417,260875.838890893,0.110881543961115,56695.5789648115,575132775.912645,0.110881543961115,124992355.944639
"33","SNOW",2012,"EBS","ALL",140350,"male",1508356369.52045,0.129148700477132,381812439.360743,191158.939247698,0.102901315365407,38554.1923331903,421433321.834095,0.102901315365407,84997444.584861
"34","SNOW",2013,"EBS","ALL",140350,"male",1168437473.24635,0.111011642731725,254231920.135391,158895.252634182,0.0958905655335221,29863.6490459398,350304068.461698,0.0958905655335221,65838076.2576323
"35","SNOW",2014,"EBS","ALL",140350,"male",1731988083.13561,0.268572085264592,911720756.23666,245533.785663857,0.177449932308822,85397.1091453369,541309338.302713,0.177449932308822,188268398.662301
"36","SNOW",2015,"EBS","ALL",140350,"male",1588388586.4912,0.227728054170027,708972458.452344,131844.344998937,0.117695327433082,30414.2281755063,290667025.547494,0.117695327433082,67051895.4617923
"37","SNOW",2016,"EBS","ALL",140350,"male",2418667128.25526,0.264620039930508,1254454472.43273,133680.564325671,0.148017326394209,38782.5978558157,294715196.213888,0.148017326394209,85500992.5669961
"38","SNOW",2017,"EBS","ALL",140350,"male",3599704694.86906,0.164616040359392,1161435501.33162,218214.179479113,0.145621971529778,62282.4869017426,481079916.487827,0.145621971529778,137309379.568583
"39","SNOW",2018,"EBS","ALL",140350,"male",5873639079.81907,0.171475756654552,1974085942.83433,505954.973659477,0.142484239011084,141297.594415658,1115439780.5666,0.142484239011084,311507873.061575
"40","SNOW",2019,"EBS","ALL",140350,"male",2137726977.55606,0.173946400627324,728825830.008817,338730.458253324,0.159133099349726,105650.326225368,746772830.974488,0.159133099349726,232919099.202153
"41","SNOW",2021,"EBS","ALL",140350,"male",307853529.482584,0.125288511745731,75598200.6673055,73544.9964581179,0.127641409910632,18399.2785979817,162138962.915357,0.127641409910632,40563465.822809
"42","SNOW",2022,"EBS","ALL",140350,"male",644777039.400941,0.207298147254752,261975727.894029,58129.6394748812,0.15216559193174,17336.848758969,128153918.186238,0.15216559193174,38221208.9655943
"43","SNOW",2023,"EBS","ALL",140350,"male",892931123.030674,0.194515796231779,340430848.417838,50880.6572680783,0.128977466677817,12862.4182235844,112172648.027741,0.128977466677817,28356778.1873945
"44","SNOW",2024,"EBS","ALL",140350,"male",2430133748.40295,0.151621928259853,722184667.129913,165690.90878125,0.124273503411533,40358.3398466659,365285925.733831,0.124273503411533,88974909.0062214
